Year,Step In Year,Dec. Year,C mass of plants  (tC/ha),C mass of debris  (tC/ha),C mass of soil  (tC/ha)
2009,-2147483644,2010.0,0.0,0.0,111.6841477132179
2010,1,2011.0,0.23401902968598,0.020504847648597,108.23108651210813
2011,1,2012.0,0.577756130201084,0.02998543304836,105.01542109845028
2012,1,2013.0,3.034247072944048,0.067087547194326,102.1357228530456
2013,1,2014.0,8.07626380485565,0.302165840882729,99.05657237872605
2014,1,2015.0,17.25683083850699,0.854349820513959,96.2261075114522
2015,1,2016.0,29.39194834888604,1.938115832663273,93.88088354904349
2016,1,2017.0,44.828308530736,3.53846531780661,91.91140783235583
2017,1,2018.0,61.94497022543538,5.736747267633398,90.4555155668352
2018,1,2019.0,79.68247348905305,8.422368019009046,89.5387578139506
2019,1,2020.0,94.25627620596568,11.79912095676233,89.34584841162135
2020,1,2021.0,113.4669596173796,14.718183869528518,89.52684142470417
2021,1,2022.0,133.2597744504298,18.50074688236988,90.09748684292477
2022,1,2023.0,153.1886519855223,22.4821813339873,91.18712639442542
2023,1,2024.0,165.55561607357265,26.70725749823797,92.7219154430984
2024,1,2025.0,180.5209349943318,30.127240889306226,94.684696402364
2025,1,2026.0,194.74426634769733,33.655178392682906,96.76598167427055
2026,1,2027.0,208.24347868493848,37.14528348637536,99.11403844742783
2027,1,2028.0,221.04578611789265,40.55946553412375,101.65785297498856
2028,1,2029.0,233.18368455527408,43.875426754288355,104.3688982600422
2029,1,2030.0,244.69224685809263,47.08027295439105,107.21907674164044
2030,1,2031.0,255.60734311248916,50.16699679508912,110.18214955360231
2031,1,2032.0,265.9644900827476,53.132444941749405,113.23433370994798
2032,1,2033.0,275.79812796924807,55.97607535069819,116.35446565110335
2033,1,2034.0,285.14118658115797,58.69915301082603,119.52394927907388
2034,1,2035.0,294.0248465708853,61.30420198835794,122.7266006461215
2035,1,2036.0,302.47843106257733,63.79461642668267,125.948447643997
2036,1,2037.0,310.5293833076626,66.17437619730649,129.17751532706967
2037,1,2038.0,318.2032999293085,68.44783523391045,132.40361298092827
2038,1,2039.0,325.5239989056356,70.6195625500777,135.61813128237017
2039,1,2040.0,332.51360806043056,72.69422264202987,138.81385365204886
2040,1,2041.0,339.1926644097056,74.67648594095401,141.98478353231462
2041,1,2042.0,345.58021788558574,76.57096247290943,145.12598798030112
2042,1,2043.0,351.6939351583442,78.3821535526252,148.23345720221053
2043,1,2044.0,357.5502008001412,80.11441751620795,151.30397922682215
2044,1,2045.0,363.1642140853394,81.7719463672817,154.33502868940388
2045,1,2046.0,368.5500804443001,83.35875087285588,157.32466859345467
2046,1,2047.0,373.7208970793647,84.87865215961982,160.2714638903659
2047,1,2048.0,378.6888325823985,86.33527826661724,163.1744057372269
2048,1,2049.0,383.46520061134686,87.7320644321069,166.0328453421564
2049,1,2050.0,388.06052782278346,89.07225614918244,168.84643637262764
2050,1,2051.0,392.4846163424172,90.35891423000945,171.61508497727127
2051,1,2052.0,396.7466011029203,91.59492128275357,174.33890655023615
2052,1,2053.0,400.8550024001513,92.78298913657699,177.0181884458084
2053,1,2054.0,404.8177740233308,93.92566685493006,179.65335792731972
2054,1,2055.0,408.6423473078799,95.02534906093337,182.244954706944
2055,1,2056.0,412.33567144561965,96.08428436508576,184.79360750092889
2056,1,2057.0,415.9042503687445,97.10458373819591,187.30001408768095
2057,1,2058.0,419.3541765034225,98.08822871402269,189.7649244137673
2058,1,2059.0,422.69116166741185,99.0370793388068,192.18912634535013
2059,1,2060.0,425.92056536461433,99.95288181045,194.57343371000587
2060,1,2061.0,429.0474207086345,100.83727576996772,196.91867631656
2061,1,2062.0,432.07645818752127,101.69180122316423,199.2256916787888
2062,1,2063.0,435.0121274631695,102.517905082177,201.495318202947
2063,1,2064.0,437.8586173814613,103.31694732536022,203.72838962940176
2064,1,2065.0,440.6198743531485,104.0902067805254,205.92573054553893
2065,1,2066.0,443.29961925071854,104.83888654131336,208.088152810876
2066,1,2067.0,445.90136295299425,105.56411902982452,210.21645275627637
2067,1,2068.0,448.42842065691906,106.26697072089236,212.31140903760755
2068,1,2069.0,450.8839250648145,106.94844654479645,214.37378104038032
2069,1,2070.0,453.2708385452565,107.60949398597592,216.40430774610005
2070,1,2071.0,455.591964356548,108.25100689557364,218.40370698347647
2071,1,2072.0,457.8499570134662,108.87382903554636,220.37267499847755
2072,1,2073.0,460.04733187045525,109.47875737171044,222.31188628665728
2073,1,2074.0,462.1864739876696,110.06654513253277,224.22199363941183
2074,1,2075.0,464.26964634013984,110.63790464978736,226.10362836294993
2075,1,2076.0,466.29899742482087,111.19350999642016,227.95740063495887
2076,1,2077.0,468.2765683152776,111.73399943613792,229.7838999693016
2077,1,2078.0,470.2042992092672,112.25997769838736,231.5836957637088
2078,1,2079.0,472.08403551039805,112.77201809153895,233.3573379094227
2079,1,2080.0,473.91753348136854,113.27066446625076,235.1053574451855
2080,1,2081.0,475.7064655029594,113.75643304017134,236.82826724091328
2081,1,2082.0,477.45242496994706,114.22981409435852,238.526562698932
2082,1,2083.0,479.1569308523772,114.691273551042,240.20072246280975
2083,1,2084.0,480.8214319481768,115.14125444165032,241.85120912567123
2084,1,2085.0,482.44731085084186,115.58017827335638,243.47846993144552
2085,1,2086.0,484.03588765391805,116.0084463017703,245.08293746383669
2086,1,2087.0,485.5884234121481,116.42644071682408,246.6650303189294
2087,1,2088.0,487.10612337749507,116.83452574834996,248.225153758294
2088,1,2089.0,488.59014002673183,117.23304869734852,249.7637003402519
2089,1,2090.0,490.0415758959082,117.62234089847502,251.28105052762876
2090,1,2091.0,491.46148623575726,118.00271861883964,252.7775732708768
2091,1,2092.0,492.8508815009542,118.37448389781807,254.2536265659036
2092,1,2093.0,494.2107296851089,118.73792533219932,255.70955798632335
2093,1,2094.0,495.5419585124158,119.093318810659,257.1457051901473
2094,1,2095.0,496.84545749602813,119.44092820123248,258.5623964011813
2095,1,2096.0,498.1220798724268,119.78100599517587,259.95995086558884
2096,1,2097.0,499.3726444203365,120.11379391033694,261.33867928423473
2097,1,2098.0,500.59793717207833,120.43952345691588,262.6988842215391
2098,1,2099.0,501.7987130246472,120.75841646827207,264.04086049166034
2099,1,2100.0,502.97569725724566,121.07068559922745,265.36489552288606
2100,1,2101.0,504.1295869615016,121.3765347941287,266.67126970115373
